id,cai_section,difficulty,time,km,ascent,download_link,description
138B,Fabriano,E,1:20,3^4,350,https://www.caifabriano.it/wp/cpc/?wpfb_dl=98,dummy description
138C,Fabriano,E,1:40,5^4,311,https://www.caifabriano.it/wp/cpc/?wpfb_dl=99,dummy description
138D,Fabriano,E,1:00,2^7,297,https://www.caifabriano.it/wp/cpc/?wpfb_dl=100,dummy description
138F,Fabriano,T,0:30,1^5,100,https://www.caifabriano.it/wp/cpc/?wpfb_dl=101,dummy description
181A,Fabriano,E,0:30,2^1,116,https://www.caifabriano.it/wp/cpc/?wpfb_dl=185,dummy description
181B,Fabriano,E,0:40,2^3,162,https://www.caifabriano.it/wp/cpc/?wpfb_dl=186,dummy description
182A,Fabriano,E,0:30,2,105,https://www.caifabriano.it/wp/cpc/?wpfb_dl=188,dummy description
183A,Fabriano,E,1:00,2^9,371,https://www.caifabriano.it/wp/cpc/?wpfb_dl=190,dummy description
183B,Fabriano,E,0:15,0^6,81,https://www.caifabriano.it/wp/cpc/?wpfb_dl=191,dummy description
107,Fabriano,E,4:20,13^9,875,https://www.caifabriano.it/wp/cpc/?wpfb_dl=14,dummy description
117,Fabriano,EE,0:50,1^6,92,https://www.caifabriano.it/wp/cpc/?wpfb_dl=37,dummy description
121,Fabriano,E,1:40,4^6,406,https://www.caifabriano.it/wp/cpc/?wpfb_dl=49,dummy description
139,Fabriano,E,2:30,6^3,640,https://www.caifabriano.it/wp/cpc/?wpfb_dl=102,dummy description
141,Fabriano,E,1:30,4^8,336,https://www.caifabriano.it/wp/cpc/?wpfb_dl=103,dummy description
142,Fabriano,E,2:10,8,462,https://www.caifabriano.it/wp/cpc/?wpfb_dl=105,dummy description
143,Fabriano,E,1:30,4^1,532,https://www.caifabriano.it/wp/cpc/?wpfb_dl=107,dummy description
144,Fabriano,E,1:30,4^2,400,https://www.caifabriano.it/wp/cpc/?wpfb_dl=109,dummy description
145,Fabriano,E,0:45,2^1,100,https://www.caifabriano.it/wp/cpc/?wpfb_dl=110,dummy description
146,Fabriano,EE,2:40,6^4,576,https://www.caifabriano.it/wp/cpc/?wpfb_dl=111,dummy description
147,Fabriano,E,2:00,6^5,564,https://www.caifabriano.it/wp/cpc/?wpfb_dl=114,dummy description
157,Fabriano,E,1:30,6^2,218,https://www.caifabriano.it/wp/cpc/?wpfb_dl=141,dummy description
107A,Fabriano,E,1:20,2^9,414,https://www.caifabriano.it/wp/cpc/?wpfb_dl=15,dummy description
107B,Fabriano,EE,0:50,2^6,295,https://www.caifabriano.it/wp/cpc/?wpfb_dl=16,dummy description
107C,Fabriano,E,1:20,3^2,404,https://www.caifabriano.it/wp/cpc/?wpfb_dl=17,dummy description
107D,Fabriano,T,0:30,0^9,79,https://www.caifabriano.it/wp/cpc/?wpfb_dl=18,dummy description
117A,Fabriano,T,0:20,0^7,93,https://www.caifabriano.it/wp/cpc/?wpfb_dl=38,dummy description
121A,Fabriano,E,0:15,0^7,100,https://www.caifabriano.it/wp/cpc/?wpfb_dl=50,dummy description
121B,Fabriano,T,0:45,1^6,171,https://www.caifabriano.it/wp/cpc/?wpfb_dl=51,dummy description
121C,Fabriano,E,0:30,1^3,249,https://www.caifabriano.it/wp/cpc/?wpfb_dl=52,dummy description
141A,Fabriano,E,1:20,6,182,https://www.caifabriano.it/wp/cpc/?wpfb_dl=104,dummy description
142A,Fabriano,E,2:30,8^2,472,https://www.caifabriano.it/wp/cpc/?wpfb_dl=106,dummy description
143A,Fabriano,E,0:20,0^7,95,https://www.caifabriano.it/wp/cpc/?wpfb_dl=108,dummy description
146A,Fabriano,EE,2:10,6^9,188,https://www.caifabriano.it/wp/cpc/?wpfb_dl=112,dummy description
146B,Fabriano,T,0:40,1^4,133,https://www.caifabriano.it/wp/cpc/?wpfb_dl=113,dummy description
147A,Fabriano,E,2:20,7^2,508,https://www.caifabriano.it/wp/cpc/?wpfb_dl=115,dummy description
147B,Fabriano,E,4:20,13^4,573,https://www.caifabriano.it/wp/cpc/?wpfb_dl=116,dummy description
108,Fabriano,E,2:00,5,588,https://www.caifabriano.it/wp/cpc/?wpfb_dl=19,dummy description
109,Fabriano,E,2:00,6^3,441,https://www.caifabriano.it/wp/cpc/?wpfb_dl=22,dummy description
110,Fabriano,E,3:00,9^1,741,https://www.caifabriano.it/wp/cpc/?wpfb_dl=23,dummy description
111,Fabriano,E,1:30,5^5,399,https://www.caifabriano.it/wp/cpc/?wpfb_dl=26,dummy description
112,Fabriano,E,1:45,4^4,343,https://www.caifabriano.it/wp/cpc/?wpfb_dl=27,dummy description
113,Fabriano,E,3:00,7^2,897,https://www.caifabriano.it/wp/cpc/?wpfb_dl=29,dummy description
115,Fabriano,E,1:20,3^9,336,https://www.caifabriano.it/wp/cpc/?wpfb_dl=32,dummy description
116,Fabriano,E,2:40,6,1021,https://www.caifabriano.it/wp/cpc/?wpfb_dl=34,dummy description
118,Fabriano,E,2:45,8^2,531,https://www.caifabriano.it/wp/cpc/?wpfb_dl=39,dummy description
161,Fabriano,E,2:20,3^4,529,https://www.caifabriano.it/wp/cpc/?wpfb_dl=142,dummy description
162,Fabriano,E,3:00,7^5,1308,https://www.caifabriano.it/wp/cpc/?wpfb_dl=143,dummy description
163,Fabriano,E,2:00,6^4,909,https://www.caifabriano.it/wp/cpc/?wpfb_dl=145,dummy description
165,Fabriano,E,1:15,3^2,275,https://www.caifabriano.it/wp/cpc/?wpfb_dl=147,dummy description
166,Fabriano,E,1:00,3^2,307,https://www.caifabriano.it/wp/cpc/?wpfb_dl=148,dummy description
167,Fabriano,EE,2:30,3^8,467,https://www.caifabriano.it/wp/cpc/?wpfb_dl=151,dummy description
168,Fabriano,E,1:20,4^5,384,https://www.caifabriano.it/wp/cpc/?wpfb_dl=153,dummy description
169,Fabriano,E,0:30,1^8,74,https://www.caifabriano.it/wp/cpc/?wpfb_dl=159,dummy description
170,Fabriano,E,1:00,2^1,155,https://www.caifabriano.it/wp/cpc/?wpfb_dl=161,dummy description
171,Fabriano,EE,1:45,2^4,345,https://www.caifabriano.it/wp/cpc/?wpfb_dl=162,dummy description
172,Fabriano,E,1:45,3^5,103,https://www.caifabriano.it/wp/cpc/?wpfb_dl=163,dummy description
173,Jesi,E,1:30,4^7,185,https://www.caifabriano.it/wp/cpc/?wpfb_dl=166,dummy description
174,Jesi,E,2:15,5,440,https://www.caifabriano.it/wp/cpc/?wpfb_dl=172,dummy description
175,Jesi,E,1:45,3^9,446,https://www.caifabriano.it/wp/cpc/?wpfb_dl=174,dummy description
176,Jesi,E,2:00,5,499,https://www.caifabriano.it/wp/cpc/?wpfb_dl=175,dummy description
177,Jesi,E,1:15,4^1,86,https://www.caifabriano.it/wp/cpc/?wpfb_dl=176,dummy description
178,Jesi,E,1:30,4,369,https://www.caifabriano.it/wp/cpc/?wpfb_dl=179,dummy description
179,Jesi,E,2:00,6,336,https://www.caifabriano.it/wp/cpc/?wpfb_dl=183,dummy description
207,S. Severino,E,4:45,13^1,761,https://www.caifabriano.it/wp/cpc/?wpfb_dl=198,dummy description
208,S. Severino,E,4:45,12^4,661,https://www.caifabriano.it/wp/cpc/?wpfb_dl=200,dummy description
209,S. Severino,E,5:00,15^8,1175,https://www.caifabriano.it/wp/cpc/?wpfb_dl=202,dummy description
222,S. Severino,E,4:30,14^4,700,https://www.caifabriano.it/wp/cpc/?wpfb_dl=218,dummy description
223,S. Severino,E,3:15,10^2,490,https://www.caifabriano.it/wp/cpc/?wpfb_dl=219,dummy description
224,S. Severino,E,1:15,3^2,369,https://www.caifabriano.it/wp/cpc/?wpfb_dl=220,dummy description
108A,Fabriano,T,0:30,0^6,117,https://www.caifabriano.it/wp/cpc/?wpfb_dl=20,dummy description
108B,Fabriano,E,0:40,1^8,93,https://www.caifabriano.it/wp/cpc/?wpfb_dl=21,dummy description
110A,Fabriano,T,0:50,2^6,127,https://www.caifabriano.it/wp/cpc/?wpfb_dl=24,dummy description
110B,Fabriano,T,0:15,1,77,https://www.caifabriano.it/wp/cpc/?wpfb_dl=25,dummy description
112A,Fabriano,E,0:50,1^3,288,https://www.caifabriano.it/wp/cpc/?wpfb_dl=28,dummy description
114A,Fabriano,T,1:00,3^4,50,https://www.caifabriano.it/wp/cpc/?wpfb_dl=31,dummy description
115A,Fabriano,E,2:00,6^2,351,https://www.caifabriano.it/wp/cpc/?wpfb_dl=33,dummy description
116A,Fabriano,E,1:30,2^1,585,https://www.caifabriano.it/wp/cpc/?wpfb_dl=35,dummy description
116B,Fabriano,E,0:30,1^8,327,https://www.caifabriano.it/wp/cpc/?wpfb_dl=36,dummy description
162A,Fabriano,T,0:15,1,29,https://www.caifabriano.it/wp/cpc/?wpfb_dl=144,dummy description
163A,Fabriano,E,1:00,2^3,523,https://www.caifabriano.it/wp/cpc/?wpfb_dl=146,dummy description
